source,target,relation,effect,claim_id
Superconductivity,5 K,STATE_UNDER_CONDITION,,N/A
Superconductivity,powder X-ray diffraction,DESCRIBES,,N/A
Superconductivity,NdO0.63F0.37BiS2,EXHIBITS_STATE,,N/A
Superconductivity,CDW satellites,STATE_UNDER_CONDITION,,N/A
Superconductivity,CeOBiS1.7Se0.3,EXHIBITS_STATE,,N/A
Superconductivity,diamagnetic transition temperature,STATE_UNDER_CONDITION,,N/A
Superconductivity,electrical resistivity,MEASURES,,N/A
Superconductivity,magnetization,MEASURES,,N/A
Superconductivity,Sr1-xLaxFBiS2,EXHIBITS_STATE,,N/A
Superconductivity,ambient pressure,STATE_UNDER_CONDITION,,N/A
Superconductivity,CeOBiS2-xSex,EXHIBITS_STATE,,N/A
Superconductivity,La2O2Bi2Pb2S6,EXHIBITS_STATE,,N/A
Superconductivity,La2O2Bi3Ag0.6Sn0.4S6,EXHIBITS_STATE,,N/A
Superconductivity,LaO1-xFxBiS2,EXHIBITS_STATE,,N/A
Superconductivity,High-pressure,EXPERIMENT_CONDITIONS,,N/A
Superconductivity,REO1-xFxBiCh2,EXHIBITS_STATE,,N/A
Superconductivity,BiS2-based systems,EXHIBITS_STATE,,N/A
Superconductivity,increase in DSmix,STATE_UNDER_CONDITION,,N/A
Superconductivity,La2O2Bi3AgS6,EXHIBITS_STATE,,N/A
Superconductivity,0.5 K,STATE_UNDER_CONDITION,,N/A
Superconductivity,BiS2-based superconductors,EXHIBITS_STATE,,N/A
Superconductivity,"LaO0.6F0.4Bi(S,Se)2",EXHIBITS_STATE,,N/A
Superconductivity,BiCh2,EXHIBITS_STATE,,N/A
Superconductivity,Eu0.5Ce0.5FBiS2-xSex,EXHIBITS_STATE,,N/A
Superconductivity,"La(O,F)BiSe2",EXHIBITS_STATE,,N/A
Superconductivity,F-doping,STATE_UNDER_CONDITION,,N/A
Superconductivity,electron doping,STATE_UNDER_CONDITION,,N/A
Superconductivity,BiCh2-based compound,EXHIBITS_STATE,,N/A
Superconductivity,monoclinic,STATE_UNDER_CONDITION,,N/A
Superconductivity,tetragonal,STATE_UNDER_CONDITION,,N/A
Superconductivity,Eu0.5La0.5FBiS2-xSex,EXHIBITS_STATE,,N/A
Superconductivity,chemical pressure,STATE_UNDER_CONDITION,,N/A
Superconductivity,decrease in in-plane disorder,STATE_UNDER_CONDITION,,N/A
Superconductivity,EuFBiS2,EXHIBITS_STATE,,N/A
Superconductivity,0.13 K,STATE_UNDER_CONDITION,,N/A
Superconductivity,substituting 50 at.% Ce for Eu,STATE_UNDER_CONDITION,,N/A
Superconductivity,Sr0.5La0.5FBiS2,EXHIBITS_STATE,,N/A
Superconductivity,Mott physics,EXHIBITS_STATE,,N/A
Superconductivity,Superconductivity,EXHIBITS_STATE,,N/A
Superconductivity,"R(O,F)BiS2 (R: La, Ce, Pr, Nd) single crystals",EXHIBITS_STATE,,N/A
Superconductivity,3.5 K,STATE_UNDER_CONDITION,,N/A
Superconductivity,"Ce(O,F)BiS2",EXHIBITS_STATE,,N/A
Superconductivity,3 K,HAS_PROPERTY_VALUE,,N/A
Superconductivity,Bi2OS2,EXHIBITS_STATE,,N/A
Superconductivity,NdO0.5F0.5Bi(S1-xSex)2,EXHIBITS_STATE,,N/A
Superconductivity,4.5 K,STATE_UNDER_CONDITION,,N/A
Superconductivity,Ce1-xNdxO1-yFyBiS2,EXHIBITS_STATE,,N/A
Superconductivity,Nd1-zSmzO1-yFyBiS2,EXHIBITS_STATE,,N/A
Superconductivity,z = 0 - 0.8,STATE_UNDER_CONDITION,,N/A
Superconductivity,y = 0.3,STATE_UNDER_CONDITION,,N/A
Superconductivity,y = 0.5,STATE_UNDER_CONDITION,,N/A
Superconductivity,REO1-yFyBiS2,EXHIBITS_STATE,,N/A
Superconductivity,SrFBiS2,EXHIBITS_STATE,,N/A
Superconductivity,pressure,STATE_UNDER_CONDITION,,N/A
Superconductivity,Hydrostatic pressure,STATE_UNDER_CONDITION,,N/A
Superconductivity,PrO0.3F0.7BiS2,EXHIBITS_STATE,,N/A
Superconductivity,As-grown,STATE_UNDER_CONDITION,,N/A
Superconductivity,high-pressure-annealed,STATE_UNDER_CONDITION,,N/A
Superconductivity,anisotropy,PROPERTY_UNDER_CONDITION,,N/A
Superconductivity,NdO1-xFxBiS2,EXHIBITS_STATE,,N/A
Superconductivity,DC magnetic susceptibility,MEASURES,,N/A
Superconductivity,Electric transport measurement,DESCRIBES,,N/A
Superconductivity,PrO1-xFxBiS2,EXHIBITS_STATE,,N/A
Superconductivity,4 K,STATE_UNDER_CONDITION,,N/A
Superconductivity,transport,MEASURES,,N/A
Superconductivity,x > 0.3,STATE_UNDER_CONDITION,,N/A
Superconductivity,CeO1-xFxBiS2,EXHIBITS_STATE,,N/A
Superconductivity,muSR,EXPERIMENT_CONDITIONS,,N/A
Superconductivity,resistive and magnetic measurements,MEASURES,,N/A
Superconductivity,normal state,STATE_UNDER_CONDITION,,N/A
Superconductivity,lower pressures,STATE_UNDER_CONDITION,,N/A
Superconductivity,strain,STATE_UNDER_CONDITION,,N/A
Superconductivity,chalcogenides,EXHIBITS_STATE,,N/A
Superconductivity,intercalations/deintercalations,STATE_UNDER_CONDITION,,N/A
Superconductivity,Fe,EXHIBITS_STATE,,N/A
Superconductivity,BiS2,EXHIBITS_STATE,,N/A
Superconductivity,4K,STATE_UNDER_CONDITION,,N/A
Superconductivity,magnetic and transport measurements,MEASURES,,N/A
Superconductivity,Bi4O4S2,EXHIBITS_STATE,,N/A
Superconductivity,CeOBiS2,EXHIBITS_STATE,,N/A
Superconductivity,CSe,STATE_UNDER_CONDITION,,N/A
Superconductivity,measurement temperatures,PROPERTY_UNDER_CONDITION,,N/A
Superconductivity,"CeO(Bi, Sb)S2",EXHIBITS_STATE,,N/A
Superconductivity,Ce4+ ion concentrations,STATE_UNDER_CONDITION,,N/A
Superconductivity,Nd1-xCexOBiS2,EXHIBITS_STATE,,N/A
Superconductivity,PrOBiS2,EXHIBITS_STATE,,N/A
Superconductivity,valence fluctuation,STATE_UNDER_CONDITION,,N/A
Superconductivity,F-substituted LaOBiS2,EXHIBITS_STATE,,N/A
Superconductivity,2.5K,STATE_UNDER_CONDITION,,N/A
Superconductivity,Bi4O4S3-xSex,EXHIBITS_STATE,,N/A
Superconductivity,"x = 0, 0.03, 0.09 and 0.15",STATE_UNDER_CONDITION,,N/A
Superconductivity,S site Se substitution,STATE_UNDER_CONDITION,,N/A
Superconductivity,high magnetic field,STATE_UNDER_CONDITION,,N/A
Superconductivity,"C_e(T, H)",MEASURES,,N/A
Superconductivity,H,PROPERTY_UNDER_CONDITION,,N/A
Superconductivity,specific heat measurements,MEASURES,,N/A
Superconductivity,fully gapped,HAS_PROPERTY,,N/A
Superconductivity,La1-xCexOBiSSe,EXHIBITS_STATE,,N/A
Superconductivity,x = 0.2-0.6,STATE_UNDER_CONDITION,,N/A
Superconductivity,layered bismuth-chalcogenides,EXHIBITS_STATE,,N/A
2 K,2 K,HAS_CONDITION_VALUE,,N/A
2 K,temperature range,HAS_CONDITION_VALUE,,N/A
2 K,High-pressure,HAS_CONDITION_VALUE,,N/A
2 K,semiconducting behavior,STATE_UNDER_CONDITION,,N/A
Bi4O4S3,Tc0,HAS_PROPERTY,,N/A
Bi4O4S3,unconventional isotope effects,EXHIBITS_STATE,,N/A
Bi4O4S3,32S,SYNTHESIZES,,N/A
Bi4O4S3,34S,SYNTHESIZES,,N/A
Bi4O4S3,aS,HAS_PROPERTY,,N/A
Bi4O4S3,semimetallic or narrow band gap behavior,EXHIBITS_STATE,,N/A
Bi4O4S3,superfluid density,HAS_PROPERTY,,N/A
Bi4O4S3,magnetic penetration depth,HAS_PROPERTY,,N/A
Bi4O4S3,two s-wave type energy gaps,EXHIBITS_STATE,,N/A
Bi4O4S3,upper critical field,HAS_PROPERTY,,N/A
Bi4O4S3,multi-gap superconductivity,EXHIBITS_STATE,,N/A
Bi4O4S3,Hc2(0),HAS_PROPERTY,,N/A
Bi4O4S3,Hc2(T),HAS_PROPERTY,,N/A
Bi4O4S3,superconducting ground state,EXHIBITS_STATE,,N/A
Bi4O4S3,λ-2,HAS_PROPERTY,,N/A
Bi4O4S3,two-gap s-wave model,EXHIBITS_STATE,,N/A
Bi4O4S3,Bi2-S2-Bi2 bond,HAS_PROPERTY,,N/A
Bi4O4S3,bending,EXHIBITS_STATE,,N/A
Bi4O4S3,platelet-like morphology,EXHIBITS_STATE,,N/A
Bi4O4S3,layered structure,EXHIBITS_STATE,,N/A
Bi4O4S3,electrical resistivity,HAS_PROPERTY,,N/A
Bi4O4S3,Hc2,HAS_PROPERTY,,N/A
Bi4O4S3,ξGL(0),HAS_PROPERTY,,N/A
Bi4O4S3,Hc2(ρonset),EXHIBITS_STATE,,N/A
Bi4O4S3,NaCl-type BiS2 layer,EXHIBITS_STATE,,N/A
Bi4O4S3,High-pressure synthesis,SYNTHESIZES,,N/A
Bi4O4S3,lattice parameters,HAS_PROPERTY,,N/A
Bi4O4S3,superconducting impurities,EXHIBITS_STATE,,N/A
Bi4O4S3,superconducting shielding fraction,EXHIBITS_STATE,,N/A
Bi4O4S3,stacking of Bi4O4(SO4)1-x and Bi2S4 layers,EXHIBITS_STATE,,N/A
Bi4O4S3,metallic,EXHIBITS_STATE,,N/A
Bi4O4S3,Fermi level,HAS_PROPERTY,,N/A
Bi4O4S3,Tc onset,HAS_PROPERTY,,N/A
Bi4O4S3,Tc zero,HAS_PROPERTY,,N/A
Bi4O4S3,superconducting transition,EXHIBITS_STATE,,N/A
Bi4O4S3,flux flow activation energies,HAS_PROPERTY,,N/A
Bi4O4S3,superconductor,EXHIBITS_STATE,,N/A
Bi4O4S3,s-wave,HAS_PROPERTY,,N/A
Bi4O4S3,fully developed gap,EXHIBITS_STATE,,N/A
Bi4O4S3,Δ0,HAS_PROPERTY,,N/A
Bi4O4S3,2Δ0/kBTc,HAS_PROPERTY,,N/A
Bi4O4S3,superconducting layer,EXHIBITS_STATE,,N/A
Bi4O4S3,T λ,HAS_PROPERTY,,N/A
Bi4O4S3,λ Δ,HAS_PROPERTY,,N/A
Bi4O4S3,single gap s-wave equation,EXHIBITS_STATE,,N/A
Bi4O4S3,weak insulating behavior,EXHIBITS_STATE,,N/A
Bi4O4S3,2Δ/(kB*Tc),HAS_PROPERTY,,N/A
Bi4O4S3,strong coupling superconductivity,EXHIBITS_STATE,,N/A
Bi4O4S3,gapped feature,EXHIBITS_STATE,,N/A
Bi4O4S3,Hc1,HAS_PROPERTY,,N/A
Bi4O4S3,resistive broadening,EXHIBITS_STATE,,N/A
Bi4O4S3,Ginzburg-Landau coherence length,HAS_PROPERTY,,N/A
Bi4O4S3,solid-state reaction,SYNTHESIZES,,N/A
Bi4O4S3,Tconset,HAS_PROPERTY,,N/A
Bi4O4S3,Hall effect,MEASURES,,N/A
Bi4O4S3,magnetization,DESCRIBES,,N/A
Bi4O4S3,multiband feature,EXHIBITED_BY,,N/A
Bi4O4S3,Magnetoresistance,HAS_PROPERTY,,N/A
Bi4O4S3,Cooper pairs,EXHIBITS_STATE,,N/A
Bi4O4S3,transport,DESCRIBES,,N/A
Tc0,degradation,PROPERTY_UNDER_CONDITION,,N/A
Tc0,0.5 K,HAS_PROPERTY_VALUE,,N/A
Tc0,LaO0.5F0.5BiS2,HAS_PROPERTY,,N/A
Tc0,High-pressure synthesis,PROPERTY_UNDER_CONDITION,,N/A
Tc0,High-pressure,PROPERTY_UNDER_CONDITION,,N/A
Tc0,HEA-type REO0.5F0.5BiS2,HAS_PROPERTY,,N/A
Tc0,pressure,PROPERTY_UNDER_CONDITION,,N/A
Tc0,F concentration,PROPERTY_UNDER_CONDITION,,N/A
Tc0,Se-poor,PROPERTY_UNDER_CONDITION,,N/A
Tc0,PrO1-xFxBiS2,HAS_PROPERTY,,N/A
Tc0,γG,CORRELATES_WITH,,N/A
Tc0,large γG,PROPERTY_UNDER_CONDITION,,N/A
Tc0,NaCl-type chalcogenides,HAS_PROPERTY,,N/A
Tc0,HEA-type site,PROPERTY_UNDER_CONDITION,,N/A
Tc0,TrZr2,HAS_PROPERTY,,N/A
Tc0,"(Sr, La)FBiS2",HAS_PROPERTY,,N/A
Tc0,isotope mass,PROPERTY_UNDER_CONDITION,,N/A
Tc0,Sr1-xLaxFBiS2,HAS_PROPERTY,,N/A
Tc0,2.1-2.7 K,HAS_PROPERTY_VALUE,,N/A
Tc0,2.5-2.8 K,HAS_PROPERTY_VALUE,,N/A
Tc0,10.0-10.8 K,HAS_PROPERTY_VALUE,,N/A
Tc0,high-P phase,HAS_PROPERTY,,N/A
Tc0,ionic radius,PROPERTY_UNDER_CONDITION,,N/A
Tc0,RE ionic radius,PROPERTY_UNDER_CONDITION,,N/A
Tc0,Sr0.5La0.5FBiS2,HAS_PROPERTY,,N/A
Tc0,c lattice constant,PROPERTY_UNDER_CONDITION,,N/A
Tc0,CeOBiS2-xSex,HAS_PROPERTY,,N/A
Tc0,3.0 K,HAS_PROPERTY_VALUE,,N/A
Tc0,electrical resistivity,MEASURES,,N/A
Tc0,magnetization,MEASURES,,N/A
Tc0,La2O2Bi2Pb2S6,HAS_PROPERTY,,N/A
Tc0,11.5 K,HAS_PROPERTY_VALUE,,N/A
Tc0,1.9 K,HAS_PROPERTY_VALUE,,N/A
Tc0,superconducting transition temperature,HAS_PROPERTY_VALUE,,N/A
Tc0,Sn substitution for the Ag site,HAS_CONDITION_VALUE,,N/A
Tc0,La2O2Bi3Ag0.6Sn0.4S6,HAS_PROPERTY,,N/A
Tc0,2.3 K,HAS_PROPERTY_VALUE,,N/A
Tc0,S1 (or Ch1),HAS_PROPERTY,,N/A
Tc0,one-dimensional vibration,MEASURES,,N/A
Tc0,"LaO0.6F0.4Bi(S,Se)2",HAS_PROPERTY,,N/A
Tc0,76Se,PROPERTY_UNDER_CONDITION,,N/A
Tc0,80Se,PROPERTY_UNDER_CONDITION,,N/A
Tc0,no change,HAS_PROPERTY_VALUE,,N/A
Tc0,Eu0.5Ce0.5FBiS2-xSex,HAS_PROPERTY,,N/A
Tc0,x ≥ 0.6,PROPERTY_UNDER_CONDITION,,N/A
Tc0,3.5 K,HAS_PROPERTY_VALUE,,N/A
Tc0,F-doping,PROPERTY_UNDER_CONDITION,,N/A
Tc0,LaO1-xFxBiS2,HAS_PROPERTY,,N/A
Tc0,2.2 K,HAS_PROPERTY_VALUE,,N/A
Tc0,substituting 50 at.% Ce for Eu,EXPERIMENT_CONDITIONS,,N/A
Tc0,Eu0.5La0.5FBiS2-xSex,HAS_PROPERTY,,N/A
Tc0,3.8 K,HAS_PROPERTY_VALUE,,N/A
Tc0,x = 0.8,PROPERTY_UNDER_CONDITION,,N/A
Tc0,diamagnetic signal,STATE_UNDER_CONDITION,,N/A
Tc0,metallic behavior,STATE_UNDER_CONDITION,,N/A
Tc0,Tc0,HAS_PROPERTY_VALUE,,N/A
Tc0,\laofx,HAS_PROPERTY,,N/A
Tc0,~ 11 K,HAS_PROPERTY_VALUE,,N/A
Tc0,high,HAS_PROPERTY_VALUE,,N/A
Tc0,bis2 families,HAS_PROPERTY,,N/A
Tc0,NdO0.71F0.29BiS2,HAS_PROPERTY,,N/A
Tc0,κ/T,PROPERTY_UNDER_CONDITION,,N/A
Tc0,5.6 K,HAS_PROPERTY_VALUE,,N/A
Tc0,uniaxial lattice contraction,PROPERTY_UNDER_CONDITION,,N/A
Tc0,BiS2-based superconductors,HAS_PROPERTY,,N/A
Tc0,Hydrostatic pressure,PROPERTY_UNDER_CONDITION,,N/A
Tc0,maximum Tc,HAS_PROPERTY_VALUE,,N/A
Tc0,magnitude of the hoppings,PROPERTY_UNDER_CONDITION,,N/A
Tc0,"Bi2(O,F)S2",HAS_PROPERTY,,N/A
Tc0,High pressure resistivity measurement,PROPERTY_UNDER_CONDITION,,N/A
Tc0,-1.2 K GPa-1,HAS_PROPERTY_VALUE,,N/A
Tc0,5.1 K,HAS_PROPERTY_VALUE,,N/A
Tc0,F content,PROPERTY_UNDER_CONDITION,,N/A
Tc0,REO1-yFyBiS2,HAS_PROPERTY,,N/A
Tc0,2.4-4.6 K,HAS_PROPERTY_VALUE,,N/A
Tc0,EuFBiS2,HAS_PROPERTY,,N/A
Tc0,applied pressure,EXPERIMENT_CONDITIONS,,N/A
Tc0,8.6 K,HAS_PROPERTY_VALUE,,N/A
Tc0,chemical pressure,PROPERTY_UNDER_CONDITION,,N/A
Tc0,NdO0.5F0.5Bi(S1-xSex)2,HAS_PROPERTY,,N/A
Tc0,LaOBiS2,HAS_PROPERTY,,N/A
Tc0,REO0.5F0.5BiS2-type series,PROPERTY_UNDER_CONDITION,,N/A
Tc0,Raman scattering measurements,MEASURES,,N/A
Tc0,4.5 K,HAS_PROPERTY_VALUE,,N/A
Tc0,4.8 K,HAS_PROPERTY_VALUE,,N/A
Tc0,Ce1-xNdxO1-yFyBiS2,HAS_PROPERTY,,N/A
Tc0,Nd1-zSmzO1-yFyBiS2,HAS_PROPERTY,,N/A
Tc0,c/a ratio,PROPERTY_UNDER_CONDITION,,N/A
Tc0,2.44 GPa,PROPERTY_UNDER_CONDITION,,N/A
Tc0,6.7 K,HAS_PROPERTY_VALUE,,N/A
Tc0,"La(O,F)BiSe2",HAS_PROPERTY,,N/A
Tc0,PrO0.3F0.7BiS2,HAS_PROPERTY,,N/A
Tc0,High pressure annealing,PROPERTY_UNDER_CONDITION,,N/A
Tc0,3.7 K,HAS_PROPERTY_VALUE,,N/A
Tc0,anisotropy,PROPERTY_UNDER_CONDITION,,N/A
Tc0,low annealing temperature,PROPERTY_UNDER_CONDITION,,N/A
Tc0,5.5 K,HAS_PROPERTY_VALUE,,N/A
Tc0,5.25K,HAS_PROPERTY_VALUE,,N/A
Tc0,PrO0.7BiS2,HAS_PROPERTY,,N/A
Tc0,x = 1.0,PROPERTY_UNDER_CONDITION,,N/A
Tc0,external pressure,PROPERTY_UNDER_CONDITION,,N/A
Tc0,2.6K,HAS_PROPERTY_VALUE,,N/A
Tc0,muon spin rotation (muSR),MEASURES,,N/A
Tc0,upper critical field,PROPERTY_UNDER_CONDITION,,N/A
Tc0,Hc2(T),PROPERTY_UNDER_CONDITION,,N/A
Tc0,lower pressures,PROPERTY_UNDER_CONDITION,,N/A
Tc0,3.9 K,HAS_PROPERTY_VALUE,,N/A
Tc0,3.7 to 4.7K,HAS_PROPERTY_VALUE,,N/A
Tc0,3.3 K,HAS_PROPERTY_VALUE,,N/A
Tc0,atmospheric pressure,PROPERTY_UNDER_CONDITION,,N/A
Tc0,critical pressure,PROPERTY_UNDER_CONDITION,,N/A
Tc0,4.3 K,HAS_PROPERTY_VALUE,,N/A
Tc0,Hydrostatic pressure application,PROPERTY_UNDER_CONDITION,,N/A
Tc0,4.6 K,HAS_PROPERTY_VALUE,,N/A
Tc0,5 K,HAS_PROPERTY_VALUE,,N/A
Tc0,4.7 K,HAS_PROPERTY_VALUE,,N/A
Tc0,pressure coefficient,PROPERTY_UNDER_CONDITION,,N/A
Tc0,~5.3 K,HAS_PROPERTY_VALUE,,N/A
Tc0,Bi6O4S4(SO4)_1-x,HAS_PROPERTY,,N/A
Tc0,dopant concentration,PROPERTY_UNDER_CONDITION,,N/A
Tc0,9.1 K,HAS_PROPERTY_VALUE,,N/A
Tc0,3.7K,HAS_PROPERTY_VALUE,,N/A
Tc0,3.1K,HAS_PROPERTY_VALUE,,N/A
Tc0,Electrical transport measurements,MEASURES,,N/A
Tc0,Bi4-xAgxO4S3,HAS_PROPERTY,,N/A
Tc0,x>0.10,PROPERTY_UNDER_CONDITION,,N/A
Tc0,specific heat experiments,EXPERIMENT_CONDITIONS,,N/A
Tc0,4.4 K,HAS_PROPERTY_VALUE,,N/A
Tc0,specific heat measurements,MEASURES,,N/A
Tc0,increasing pressure,PROPERTY_UNDER_CONDITION,,N/A
Tc0,Resistivity measurements,MEASURES,,N/A
Tc0,semiconducting LaO0.5F0.5BiS2,HAS_PROPERTY,,N/A
Tc0,2.7K,HAS_PROPERTY_VALUE,,N/A
Tc0,high magnetic field,PROPERTY_UNDER_CONDITION,,N/A
Tc0,Nd0.8Ce0.2OBiS2,HAS_PROPERTY,,N/A
Tc0,partially substituting La by the smaller Sm ion,PROPERTY_UNDER_CONDITION,,N/A
Tc0,La1-ySmyO0.5F0.5BiS2,EXHIBITS_STATE,,N/A
Tc0,y = 1.0,PROPERTY_UNDER_CONDITION,,N/A
Tc0,NdOBiS2,HAS_PROPERTY,,N/A
Tc0,pressures exceeding 1.68GPa,PROPERTY_UNDER_CONDITION,,N/A
Tc0,onset Tc above 5K,HAS_PROPERTY_VALUE,,N/A
Tc0,λ Δ,PROPERTY_UNDER_CONDITION,,N/A
Tc0,0.5Tc,HAS_PROPERTY_VALUE,,N/A
Tc0,4.4K,HAS_PROPERTY_VALUE,,N/A
Tc0,increasing magnetic field,PROPERTY_UNDER_CONDITION,,N/A
Tc0,"R(T, H)",MEASURES,,N/A
